-37	-16	-56	-88	-15	-82	-39	-41	-83	-25	-28	-74	
-40	-100	-41	-54	-37	-73	-39	-7	-26	-75	-85	-72	
-24	-21	-93	-50	-96	-47	-30	-33	-63	-85	-21	-25	
-67	-60	-14	-97	-33	-41	-71	-21	-89	-60	-22	-25	
-33	-9	-80	-6	-84	-13	-26	-7	-34	-18	-5	-30	
-13	-34	-11	-23	-67	-32	-48	-82	-39	-10	-79	-20	
-51	-98	-40	-87	-58	-62	-12	-38	-71	-40	-44	-2	
-53	-18	-57	-35	-36	-62	-64	-96	-44	-75	-19	-11	
-54	-15	-92	-93	-25	-19	-13	-23	-16	-1	-10	-74	
-11	-70	-60	-29	-10	-52	-31	-63	-69	-88	-98	-5	
-98	-10	-49	-41	-32	-68	-52	-86	-31	-92	-27	-55	
-10	-88	-78	-74	-88	-36	-96	-99	-6	-55	-76	-16	
